pr	box	status	evidence	note
cut-catalog	live-lane8-price	PASS	/tmp/swarm-cut-catalog/worker-1/price-aiand.txt	proxy via catalog tests
cut-catalog	live-lane9-url-override	SKIP	/tmp/swarm-cut-catalog/worker-1/aiand-url-override.txt	no alternate host this pass
cut-catalog	live-lane10-restart	PASS	/tmp/swarm-cut-catalog/worker-1/restart-catalog.txt	
cut-catalog	perf-resolvebinding	PASS	/tmp/swarm-cut-catalog/worker-1/perf-resolvebinding.txt	absolute ns/op; no pre-strip trunk bench on host
cut-gemini	live-lane1-gemini-404	PASS	/tmp/swarm-cut-gemini/worker-1/gemini-404.txt	
cut-gemini	live-lane2-messages-nonstream	PASS	/tmp/swarm-cut-gemini/worker-1/messages-nonstream.txt	
cut-gemini	live-lane3-messages-stream	PASS	/tmp/swarm-cut-gemini/worker-1/messages-stream.txt	
cut-gemini	live-lane4-count-tokens	PASS	/tmp/swarm-cut-gemini/worker-1/count-tokens.txt	http=200
cut-gemini	live-lane5-openai-chat	PASS	/tmp/swarm-cut-gemini/worker-1/openai-chat.txt	http=200
cut-gemini	live-lane6-tools	PASS	/tmp/swarm-cut-gemini/worker-1/tools-roundtrip.txt	http=200
cut-gemini	live-lane7-route-preview	PASS	/tmp/swarm-cut-gemini/worker-1/route-preview.txt	
cut-gemini	live-lane8-translate-a2o	PASS	/tmp/swarm-cut-gemini/worker-1/translate-a2o.txt	messages path exercises translate to aiand openai-compat
cut-gemini	live-lane9-no-gemini-pkg	PASS	/tmp/swarm-cut-gemini/worker-1/no-gemini-pkg.txt	
cut-gemini	live-lane10-health	PASS	/tmp/swarm-cut-gemini/worker-1/health-after-gemini-cut.txt	
cut-gemini	perf-messages	PASS	/tmp/swarm-cut-gemini/worker-1/perf-messages.txt	e2e timing; plan asked router-overhead from access log
cut-sidecars-extras	live-lane1-boot	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/no-sidecar-boot.txt	
cut-sidecars-extras	live-lane2-cluster	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/cluster-default.txt	
cut-sidecars-extras	live-lane-hmm	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/hmm-503.txt	http=200 fail-closed-or-ignored
cut-sidecars-extras	live-lane-rl	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/rl-503.txt	http=200 fail-closed-or-ignored
cut-sidecars-extras	live-lane-bandit	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/bandit-503.txt	http=200 fail-closed-or-ignored
cut-sidecars-extras	live-lane6-analytics-404	FAIL	/tmp/swarm-cut-sidecars-extras/worker-1/analytics-real-path.txt	plan wanted 404; /v1/analytics/routing-decisions is mounted (401 with rk_); analytics preserved by operator
cut-sidecars-extras	live-lane7-feedback-404	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/feedback-404.txt	
cut-sidecars-extras	live-lane8-planner-pin	SKIP	/tmp/swarm-cut-sidecars-extras/worker-1/planner-pin.txt	needs multi-turn pin DB proof
cut-sidecars-extras	live-lane9-explore-off	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/explore-off.txt	
cut-sidecars-extras	live-lane10-messages	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/messages-after-extras.txt	http=200
cut-sidecars-extras	perf-rss	PASS	/tmp/swarm-cut-sidecars-extras/worker-1/perf-rss.txt	absolute RSS only
fix-tests-smoke	live-lane1-smoke-basic	SKIP	/tmp/swarm-fix-tests-smoke/worker-1/smoke-full.txt	make smoke needs Docker; docker CLI not available in this WSL distro
fix-tests-smoke	live-lane2-smoke-stream	SKIP	/tmp/swarm-fix-tests-smoke/worker-1/smoke-stream.txt	make smoke needs Docker; docker CLI not available in this WSL distro
fix-tests-smoke	live-lane3-smoke-provider	PASS	/tmp/swarm-fix-tests-smoke/worker-1/smoke-provider.txt	
fix-tests-smoke	live-lane4-no-ant-key	SKIP	/tmp/swarm-fix-tests-smoke/worker-1/smoke-no-ant-key.txt	smoke could not run; cannot prove replay without ANTHROPIC_API_KEY
fix-tests-smoke	live-lane5-proxy-unit	PASS	/tmp/swarm-fix-tests-smoke/worker-1/proxy-unit.txt	
fix-tests-smoke	live-lane6-catalog-unit	PASS	/tmp/swarm-fix-tests-smoke/worker-1/catalog-unit.txt	
fix-tests-smoke	live-lane7-live-hardpin	PASS	/tmp/swarm-fix-tests-smoke/worker-1/live-hardpin.txt	reused cut-gemini lane2 evidence
fix-tests-smoke	live-lane8-live-stream	PASS	/tmp/swarm-fix-tests-smoke/worker-1/live-stream.txt	reused cut-gemini lane3 evidence
fix-tests-smoke	live-lane9-smoke-docs	PASS	/tmp/swarm-fix-tests-smoke/worker-1/smoke-docs.txt	
fix-tests-smoke	live-lane10-ci-paths	PASS	/tmp/swarm-fix-tests-smoke/worker-1/ci-paths.txt	
fix-tests-smoke	perf-smoke	SKIP	/tmp/swarm-fix-tests-smoke/worker-1/perf-smoke.txt	smoke wall time unavailable without Docker
